Name,Repo,Contributor,Week,Number of Commits,Number of Lines Added,Number of Lines Deleted
deejay6,InstaBot,deejay6,2017-07-02,1,1,0
rk2810,InstaBot,rk2810,2017-07-02,1,4,0
Aanchal512,instant,Aanchal512,0,0,0,0
abhayraina74,InstaBot,abhayraina74,2017-07-02,1,1,0
abhinavrawat77,instabot,abhinavrawat77,2017-07-02,1,221,0
gaur-abhishek,InstaBot,gaur-abhishek,2017-07-02,1,26,0
abhishekkumar95544,instabot,abhishekkumar95544,2017-07-02,3,449,16
frostwolf11,InstaBot,frostwolf11,2017-07-02,2,365,0
AkashdeepSaini,Instabot,AkashdeepSaini,2017-07-02,2,155,0
096Akhilesh,instabot,096Akhilesh,0,0,0,0
Akshitarora15,instabot,Akshitarora15,0,0,0,0
akshit5595,InstaBot,akshit5595,0,0,0,0
Annu3,instabot,Annu3,2017-07-02,1,118,0
Annu3,instabot,Annu3,2017-07-02,1,118,0
ArpitSondh95,InstaBot,ArpitSondh95,0,0,0,0
bdubey12,instabot12,bdubey12,2017-07-02,1,0,0
gauravsaini964,python,gauravsaini964,2017-07-02,4,455,1824
Himanshubesoya,instaBot,Himanshubesoya,0,0,0,0
jatin8010,Insta_Bot,jatin8010,0,0,0,0
kunalgoswami,instabot,kunalgoswami,0,0,0,0
Mahak28,Instabot,Mahak28,0,0,0,0
mayankbaweja,InstaBot,mayankbaweja,2017-07-02,1,1,0
C-Mayank,Instabot-Project,C-Mayank,0,0,0,0
Mayurgupta3,Instabot,Mayurgupta3,2017-07-02,1,24,0
mehulbiswas,instabot,mehulbiswas,0,0,0,0
Shadanfcb,instabott,Shadanfcb,2017-07-02,1,293,0
mohitmehndiratta1,instabottt,mohitmehndiratta1,2017-07-02,1,291,0
nikbatheja,instabot,nikbatheja,0,0,0,0
nirajyadav04,instabot,nirajyadav04,0,0,0,0
nehajayant,instabot,nehajayant,0,0,0,0
pankhurisi,InstaBot,pankhurisi,2017-07-02,5,377,29
parasmriu,Insta-Bot,parasmriu,0,0,0,0
prachilepcha,projectinstabot,prachilepcha,0,0,0,0
walia95,InstaBot,walia95,0,0,0,0
Pramod37,instabot,Pramod37,0,0,0,0
imprateekgulati,Instabot,imprateekgulati,0,0,0,0
prince8800,instabot_prince,prince8800,2017-07-02,2,356,1
Priyanshiii,instabot,Priyanshiii,0,0,0,0
rahulbhagotia97,instabot786,rahulbhagotia97,2017-07-02,1,1,0
Rajatsharma2405,bigcompany,rajatsharma2405,2017-07-02,1,169,0
ramanbidhuri,instabot,ramanbidhuri,2017-07-02,1,86,0
Ramankalra01,instabot,ramankalra01,2017-07-02,2,28,1
Rishabh3993,Instabot,Rishabh3993,2017-07-02,3,332,18
Saksham25,instaBot,Saksham25,0,0,0,0
sakshikhattar,instabot,sakshikhattar,2017-07-02,1,64,0
Shakti33,instaBot,Shakti33,2017-07-02,1,264,0
shefali1310,InstaBot,shefali1310,0,0,0,0
shruti9619,InstaBot,shruti9619,2017-07-02,3,374,22
snehabhuyan,instabot1,snehabhuyan,0,0,0,0
Sneha-singh0308,instabot,sneha-singh0308,2017-07-02,2,354,16
Srikirtiraj,instaBot,Srikirtiraj,0,0,0,0
SrishtiChauhanS,instabot_srishti,SrishtiChauhanS,0,0,0,0
uditk14,instaBot,uditk14,2017-07-02,1,117,0
vaibhavmehra15,instagramBot,vaibhavmehra15,2017-07-02,1,3,0
vaibhavmehra15,instagramBot,vaibhavmehra15,2017-07-02,1,3,0
damnflyer007,Insta_Bot,damnflyer007,0,0,0,0
vik7am,insta_bot,vik7am,2017-07-02,1,8,0
Vivek kumar,my-instabot,Vivek kumar,0,0,0,0
Vivek-199,insta_bot,Vivek-199,2017-07-02,1,81,0
yuvrajsingh123,Instabot_project_python,yuvrajsingh123,2017-07-02,1,391,0
krishan-bhadana,InstaBot,krishan-bhadana,2017-07-02,1,3,0
SrishtiChauhanS,srishti_instabot,prince8800,2017-07-02,1,418,0
vmlkshk7,instabot,vmlkshk7,2017-07-02,1,6,0
